budget,genres,movie_id,original_language,original_title,popularity,release_date,revenue,runtime,movie_name,vote_average,vote_count,Director,Producer,Actor_1,Actor_2,company_name,keyword_names
25000000,Thriller|Crime|Drama|Mystery,322,en,Mystic River,31.242999,2003-10-07,156822020,138.0,Mystic River,7.6,1422,Clint Eastwood,Robert Lorenz,Sean Penn,Tim Robbins,Village Roadshow Pictures,"child abuse loss of loved one sexual abuse based on novel or book repayment suppressed past arbitrary law boston, massachusetts workers' quarter massachusetts loyalty whodunit guilt childhood sexual abuse vengeance poker race massachusetts, usa sex abuse"
33000000,Action|Crime|Horror|Thriller,326,en,Snakes on a Plane,19.642328,2006-08-06,62022014,105.0,Snakes on a Plane,5.1,497,David R. Ellis,,Samuel L. Jackson,Julianna Margulies,New Line Cinema,snake fbi airplane animal attack death first class duringcreditsstinger snake attack witness to a crime
12000000,Crime|Drama|Thriller,327,ja,Brother,5.327714,2000-09-09,15250000,114.0,Brother,6.8,107,Takeshi Kitano,Masayuki Mori,Takeshi Kitano,Omar Epps,Bandai Visual Company,"sibling relationship assassination culture clash war on drugs yakuza sake loyalty drug dealer femme fatale los angeles, california"
63000000,Adventure|Science Fiction,329,en,Jurassic Park,40.413191,1993-06-11,920100000,127.0,Jurassic Park,7.6,4856,Steven Spielberg,Gerald R. Molen,Sam Neill,Laura Dern,Universal Pictures,exotic island dna paleontology tyrannosaurus rex triceratops brontosaurus electric fence island dinosaur amusement park theme park
73000000,Adventure|Action|Science Fiction,330,en,The Lost World: Jurassic Park,2.502487,1997-05-23,229074524,129.0,The Lost World: Jurassic Park,6.2,2487,Steven Spielberg,Gerald R. Molen,Jeff Goldblum,Julianne Moore,Universal Pictures,"exotic island dna paleontology tyrannosaurus rex velociraptor san diego, california island dinosaur creature scientist amusement park theme park costa rica animal horror father daughter relationship"
93000000,Adventure|Action|Thriller|Science Fiction,331,en,Jurassic Park III,1.859364,2001-07-18,368780809,92.0,Jurassic Park III,5.7,2077,Joe Johnston,Kathleen Kennedy,Sam Neill,William H. Macy,Universal Studios,exotic island dna paleontology tyrannosaurus rex velociraptor spinosaurus island airplane rescue mission dinosaur creature scientist amusement park paragliding pterodactyl pterosaur costa rica animal horror
75000000,Action|Adventure|Comedy|Family,332,en,Inspector Gadget,17.561955,1999-07-23,0,78.0,Inspector Gadget,4.3,318,David Kellogg,,Matthew Broderick,Rupert Everett,Walt Disney Pictures,gadget villain nerd slapstick comedy superhero based on cartoon scientist super villain
37000000,Drama,334,en,Magnolia,30.993736,1999-12-08,48451803,188.0,Magnolia,7.5,825,Paul Thomas Anderson,JoAnne Sellar,Julianne Moore,William H. Macy,New Line Cinema,farewell loss of loved one regret parent child relationship suicide attempt becoming an adult dying and death chance child prodigy daughter unsociability reconciliation san fernando valley multiple storylines frog
5000000,Western,335,it,C'era una volta il West,49.333137,1968-12-21,5321508,175.0,Once Upon a Time in the West,8.1,1128,Sergio Leone,Fulvio Morsella,Henry Fonda,Claudia Cardinale,Paramount Pictures,loss of loved one small town harmonica wedding party spaghetti western arizona territory intercontintental railroad outlaw gang water pump mysterious character boom town railroad company hope for a new life railroad construction
4800000,Comedy|Drama|Romance,338,de,"Good bye, Lenin!",11.086001,2003-02-09,79384880,121.0,"Good bye, Lenin!",7.4,586,Wolfgang Becker,Manuela Stehr,Daniel Brühl,Katrin Sass,WDR,bureaucracy berlin wall police state loss of loved one coma husband wife relationship german democratic republic socialism single
2700000,Comedy|Drama,342,de,Sommersturm,3.120747,2004-09-02,0,98.0,Summer Storm,6.7,59,Marco Kreuzpaintner,Ulrike Putz,Robert Stadlober,Kostja Ullmann,Claussen + Wöbke Filmproduktion GmbH,holiday competition sexual identity lovesickness coming out row lake camping tent summer camp friendship sports crush teenage crush summer lgbt gay theme
65000000,Mystery|Drama,345,en,Eyes Wide Shut,27.870312,1999-07-14,162091208,159.0,Eyes Wide Shut,7.1,1234,Stanley Kubrick,Brian W. Cook,Tom Cruise,Nicole Kidman,Hobby Films,new york city sexual obsession prostitute based on novel or book christmas party eroticism orgy masked ball sacrifice secret society cult conspiracy marijuana mansion lust drugs disguise illegal prostitution cult film sexual desire voyeurism erotic thriller sex party marital crisis relationships costume shop hooker
2000000,Action|Drama,346,ja,七人の侍,39.756748,1954-04-26,271841,207.0,Seven Samurai,8.2,878,Akira Kurosawa,Sôjirô Motoki,Toshirō Mifune,Takashi Shimura,Toho Company,japan martial arts samurai sword peasant looting rice fencing village epic moral ambiguity battle bandit practice jidaigeki 16th century
11000000,Horror|Action|Thriller|Science Fiction,348,en,Alien,94.184658,1979-05-25,104931801,117.0,Alien,7.9,4470,Ridley Scott,Ivor Powell,Tom Skerritt,Sigourney Weaver,Twentieth Century Fox Film Corporation,android spacecraft countdown space marine space suit beheading space travel dystopia biology cowardice space alien female protagonist cult film parasite space opera cosmos xenomorph
35000000,Comedy|Drama|Romance,350,en,The Devil Wears Prada,83.893257,2006-06-30,326551094,109.0,The Devil Wears Prada,7.0,3088,David Frankel,Wendy Finerman,Meryl Streep,Anne Hathaway,Twentieth Century Fox Film Corporation,"paris, france new york city journalist based on novel or book journalism fashion journal assistant job entrant job interview editor-in-chief fashion fashion magazine bullied city life fashion industry"
80000000,Action|Fantasy,364,en,Batman Returns,59.113174,1992-06-19,280000000,126.0,Batman Returns,6.6,1673,Tim Burton,Denise Di Novi,Michael Keaton,Danny DeVito,PolyGram Filmed Entertainment,corruption double life crime fighter villain hallucination darkness christmas tree vigilante superhero based on comic revenge dark hero super power super villain deformed bird cage evil circus christmas good versus evil burton
1800000,Horror,377,en,A Nightmare on Elm Street,38.204158,1984-11-14,25504513,91.0,A Nightmare on Elm Street,7.2,1180,Wes Craven,Sara Risher,John Saxon,Ronee Blakley,New Line Cinema,child murder dream sleep ohio nightmare sadism supernatural psychopath murder slasher trapped alcoholic boiler room booby trap disfigurement medical test nightmare becomes reality supernatural horror
25000000,Drama,380,en,Rain Man,49.510658,1988-12-11,412800000,133.0,Rain Man,7.6,1709,Barry Levinson,Mark Johnson,Dustin Hoffman,Tom Cruise,United Artists,individual loss of loved one mentally disabled autism yuppie car dealer egocentrism road trip blackjack cincinnati travel convertible las vegas psychiatrist disability duringcreditsstinger asperger's syndrome savant
14000000,Action|Drama|History|War|Adventure,387,de,Das Boot,26.967494,1981-09-16,85000000,149.0,Das Boot,7.9,613,Wolfgang Petersen,Ortwin Freyermuth,Jürgen Prochnow,Herbert Grönemeyer,Radiant Film GmbH,submarine based on novel or book atlantic ocean gibraltar world war ii duty war correspondent suicide mission drinking sailor convoy destroyer naval warfare naval battle battle of the atlantic
45000000,Crime|Drama|Thriller,388,en,Inside Man,45.220386,2006-03-23,184376254,129.0,Inside Man,7.3,1630,Spike Lee,Brian Grazer,Denzel Washington,Clive Owen,Imagine Entertainment,"new york city bank hostage bank manager kidnapping ultimatum nazi court case heist anti-semitism police detective bank robbery hostage situation financial transactions bank vault dark past manhattan, new york city secret past crooked banker secret public figure"
350000,Drama,389,en,12 Angry Men,59.259204,1957-03-25,1000000,96.0,12 Angry Men,8.2,2078,Sidney Lumet,Reginald Rose,Henry Fonda,Martin Balsam,United Artists,judge jurors sultriness death penalty father murder puerto rico anonymity court case heat class innocence court based on play or musical black and white courtroom courtroom drama one location
200000,Western,391,it,Per un pugno di dollari,38.771062,1964-09-12,14500000,99.0,A Fistful of Dollars,7.6,883,Sergio Leone,Giorgio Papi,Clint Eastwood,Marianne Koch,United Artists,gunslinger based on novel or book gang war greed hostility remake murder spaghetti western dollars trilogy
25000000,Comedy|Drama|Romance,392,en,Chocolat,28.727731,2000-12-14,152500343,121.0,Chocolat,6.8,951,Lasse Hallström,Leslie Holleran,Juliette Binoche,Alfred Molina,Miramax Films,france chocolate based on novel or book tradition parent child relationship small town chocolaterie mayor praline single romantic comedy landlady non conformity 1950s lent
30000000,Action|Crime|Thriller,393,en,Kill Bill: Vol. 2,50.622607,2004-04-16,152159461,136.0,Kill Bill: Vol. 2,7.6,3948,Quentin Tarantino,Lawrence Bender,Uma Thurman,David Carradine,Miramax Films,sibling relationship martial arts kung fu showdown swordplay katana mother role rage and hate daughter right and justice vigilante single sword fight revenge retribution aftercreditsstinger duringcreditsstinger kill bill
70000000,Adventure|Science Fiction|Action,395,en,AVP: Alien vs. Predator,42.957216,2004-08-12,171183863,101.0,AVP: Alien vs. Predator,5.5,1217,Paul W.S. Anderson,Gordon Carroll,Sanaa Lathan,Raoul Bova,Impact Pictures,saving the world predator space marine pyramid praise alien creature cosmos xenomorph
7000000,Crime|Drama,398,en,Capote,17.434862,2005-09-30,49084830,114.0,Capote,6.8,384,Bennett Miller,William Vince,Philip Seymour Hoffman,Allie Mickelson,Sony Pictures Classics,"self-fulfilling prophecy based on novel or book journalism identity dream literature research literature magazine biography kansas, usa based on true story author new yorker truman capote 1950s 1960s"
8000000,Drama|Crime,400,en,Things to Do in Denver When You're Dead,6.932221,1995-12-01,529766,116.0,Things to Do in Denver When You're Dead,6.7,85,Gary Fleder,Cary Woods,Andy García,Christopher Lloyd,Miramax Films,"bounty hunter parent child relationship boat way of life coffin denver, colorado godmother paranoia hitman gangster friendship psychopath revenge murder mafia diner illegal prostitution extramarital affair"
2500000,Comedy|Drama|Romance,401,en,Garden State,30.583959,2004-07-28,26781723,102.0,Garden State,7.1,618,Zach Braff,Richard Klubeck,Zach Braff,Natalie Portman,Fox Searchlight Pictures,"new jersey loss of loved one paraplegic expensive restaurant pop culture ecstasy strangeness epilepsy lethargy answering machine difficult childhood unsociability single marijuana los angeles, california psychiatrist grave digger"
7500000,Comedy|Drama,403,en,Driving Miss Daisy,19.585801,1989-12-13,145793296,99.0,Driving Miss Daisy,7.0,350,Bruce Beresford,Lili Fini Zanuck,Morgan Freeman,Jessica Tandy,The Zanuck Company,individual 1970s culture clash chauffeur atlanta self-discovery pulitzer prize civil rights widow racial segregation based on play or musical car accident unlikely friendship elderly african american servant 1940s 1950s 1960s elderly lady race relations
10000000,Drama,404,en,The Straight Story,15.280261,1999-10-15,0,112.0,The Straight Story,7.7,306,David Lynch,Neal Edelstein,Richard Farnsworth,Sissy Spacek,Walt Disney Pictures,sibling relationship mississippi river wisconsin lawnmower iowa biography road trip based on true story family relationships family elderly man
1488423,Fantasy|Animation|Family,408,en,Snow White and the Seven Dwarfs,80.171283,1937-12-20,184925486,83.0,Snow White and the Seven Dwarfs,6.9,1914,David Hand,Walt Disney,Adriana Caselotti,Lucille La Verne,Walt Disney Productions,poison dwarf witch becoming an adult sadness queen attempted murder dying and death miner princess apple candlelight vigil based on fairy tale magic mirror
27000000,Drama|Romance|War,409,en,The English Patient,29.381878,1996-11-14,231976425,162.0,The English Patient,7.0,542,Anthony Minghella,Steve E. Andrews,Ralph Fiennes,Juliette Binoche,Miramax Films,cairo egypt identity amnesia world war ii burn landmine expedition cave sandstorm cave painting prisoner of war map mine clearer hearing desert scientist intelligence traitor airplane secret love desert
180000000,Adventure|Family|Fantasy,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,2005-12-07,748806957,143.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,Andrew Adamson,K.C. Hodenfield,William Moseley,Anna Popplewell,Walt Disney,saving the world sibling relationship witch based on novel or book self sacrifice winter cupboard beaver lion fairy tale epic surrealism battle based on children's book fantasy world duringcreditsstinger 1940s high fantasy isekai based on young adult novel faun good versus evil
100000000,Action|Crime|Fantasy,414,en,Batman Forever,48.205606,1995-05-31,336529144,121.0,Batman Forever,5.2,1498,Joel Schumacher,Peter Macgregor-Scott,Val Kilmer,Tommy Lee Jones,Warner Bros.,riddle rose villain partner superhero based on comic robin broken neck psychologist criminal district attorney millionaire super power falling down stairs tied up tommy gun beretta knocked out disfigurement father figure good versus evil
125000000,Action|Crime|Fantasy,415,en,Batman & Robin,50.073575,1997-06-20,238207122,125.0,Batman & Robin,4.2,1418,Joel Schumacher,Peter Macgregor-Scott,George Clooney,Chris O'Donnell,PolyGram Filmed Entertainment,double life dual identity crime fighter superhero based on comic credit card super power super villain good versus evil
50000000,Adventure|Comedy|Drama,421,en,The Life Aquatic with Steve Zissou,25.237969,2004-12-10,34808403,119.0,The Life Aquatic with Steve Zissou,7.1,775,Wes Anderson,Dan Beers,Bill Murray,Anjelica Huston,Touchstone Pictures,parent child relationship red cap rivalry dysfunctional family pirate magic realism oceanography scientific expedition diorama research turtles acoustic guitar
35000000,Drama|War,423,en,The Pianist,50.587541,2002-09-24,120072577,150.0,The Pianist,8.0,1864,Roman Polanski,Alain Sarde,Adrien Brody,Thomas Kretschmann,Bac Films,resistance holocaust (shoah) hunger world war ii prisoner of war homeland ghetto deportation jew persecution liberation warsaw ghetto polish resistance nazi biography concert survival based on memoir or autobiography pianist poland
22000000,Drama|History|War,424,en,Schindler's List,104.469351,1993-11-29,321365567,195.0,Schindler's List,8.3,4329,Steven Spielberg,Gerald R. Molen,Liam Neeson,Ben Kingsley,Universal Pictures,"based on novel or book factory concentration camp hero holocaust (shoah) ss (nazi schutzstaffel) world war ii ghetto jew persecution kraków, poland auschwitz-birkenau concentration camp industrialist nazi defense industry biography based on true story historical fiction black and white train poland weapons manufacturer"
59000000,Animation|Comedy|Family|Adventure,425,en,Ice Age,99.561972,2002-03-10,383257136,81.0,Ice Age,7.1,3857,Chris Wedge,Lori Forte,Ray Romano,,Twentieth Century Fox Film Corporation,human evolution loss of loved one parent child relationship squirrel mammoth sloth dying and death stone age prehistory prehistoric creature saber-toothed tiger cavemen road movie neanderthal prehistoric man ground sloth
1200000,Western,429,it,"Il buono, il brutto, il cattivo",88.377076,1966-12-23,6000000,161.0,"The Good, the Bad and the Ugly",8.1,2311,Sergio Leone,Alberto Grimaldi,Eli Wallach,Clint Eastwood,United Artists,bounty hunter refugee gold anti hero gallows hitman army outlaw shootout moral ambiguity spaghetti western dollars trilogy
250000,Thriller|Science Fiction|Mystery,431,en,Cube,44.656151,1997-09-09,501818,90.0,Cube,6.9,1069,Vincenzo Natali,Betty Orr,Nicole de Boer,Nicky Guadagni,Téléfilm Canada,riddle autism claustrophobia maze psychology prime number entrapment trapdoor mathematics murder gore escape trap labyrinth survival horror numbers cube mechanical industrial
6000000,Comedy|Family|Fantasy,433,en,Mary Poppins,59.961523,1964-08-27,102272727,139.0,Mary Poppins,7.4,1183,Robert Stevenson,Bill Walsh,Julie Andrews,Dick Van Dyke,Walt Disney Productions,"london, england sibling relationship based on novel or book parent child relationship famous score nanny magic musical family kite flying live action and animation 1910s chimney sweep suffragettes"
125000000,Action|Adventure|Science Fiction|Thriller,435,en,The Day After Tomorrow,41.380094,2004-05-26,544272402,124.0,The Day After Tomorrow,6.2,2392,Roland Emmerich,Mark Gordon,Dennis Quaid,Jake Gyllenhaal,Lions Gate Films,"saving the world library cataclysm climate change greenhouse effect tornado twister hurricane hail temperature drop ice age polar zone meteorology gulfstream barrier ice ice melting third world exodus evacuation climate natural disaster government disaster snow los angeles, california antarctica scientist cell phone environmental doomsday disaster movie helicopter crash"
0,Drama|Thriller|Crime,436,es,"María, llena eres de gracia",3.027892,2004-01-18,0,101.0,Maria Full of Grace,6.9,101,Joshua Marston,Jaime Osorio Gómez,Catalina Sandino Moreno,Guilied Lopez,Fine Line Features,individual new york city adolescence drug trafficking cocaine drug crime illegal immigration maquiladora drug mule pregnancy airplane bravery teacher self esteem teenage protagonist
40000000,Fantasy|Action|Science Fiction|Thriller|Horror,440,en,Aliens vs Predator: Requiem,39.381913,2007-12-25,41797066,94.0,Aliens vs Predator: Requiem,4.9,740,Greg Strause,John Davis,Steven Pasquale,Reiko Aylesworth,Twentieth Century Fox Film Corporation,predator colorado national guard hybrid alien morgue creature alien possession triangle infestation xenomorph
3600000,Drama|Romance,451,en,Leaving Las Vegas,22.030517,1995-10-27,49800000,112.0,Leaving Las Vegas,7.1,360,Mike Figgis,Annie Stewart,Nicolas Cage,Elisabeth Shue,United Artists,"individual prostitute alcohol casino love at first sight lovesickness movie business screenwriter hotel room dying and death rage and hate unsociability alcoholism los angeles, california las vegas alcohol abuse"
60000000,Drama|Romance,453,en,A Beautiful Mind,59.248437,2001-12-11,313542341,135.0,A Beautiful Mind,7.7,3009,Ron Howard,Kathleen McGill,Russell Crowe,Jennifer Connelly,Imagine Entertainment,individual schizophrenia massachusetts love of one's life intelligence mathematician market economy economic theory princeton university nobel prize mathematical theorem biography mathematics genius delusion math genius savant
14500000,Drama|Romance,454,en,Romeo + Juliet,41.493042,1996-10-31,147298761,120.0,Romeo + Juliet,6.7,1374,Baz Luhrmann,Martin Brown,Leonardo DiCaprio,Claire Danes,Bazmark Films,suicide gang war forbidden love murder based on play or musical gun violence star crossed lovers shakespeare in modern dress teenage romance masquerade
3500159,Comedy|Drama|Romance,455,en,Bend It Like Beckham,22.054546,2002-04-11,76578641,112.0,Bend It Like Beckham,6.2,578,Gurinder Chadha,Paul Mayeda Berges,Parminder Nagra,Keira Knightley,Fox Searchlight Pictures,"london, england tradition culture clash immigration women's football (soccer) sports football (soccer) family lgbt woman director british asian"
52000000,Drama,462,en,Erin Brockovich,30.347332,2000-03-17,256271286,131.0,Erin Brockovich,7.1,716,Steven Soderbergh,Stacey Sher,Julia Roberts,Albert Finney,Jersey Films,biography based on true story single mother water pollution environmental law legal drama corporate negligence
0,Romance|Drama|Comedy|Music,464,sv,Så som i himmelen,4.321249,2004-09-03,0,132.0,As It Is in Heaven,6.9,42,Kay Pollak,Peter Possne,Michael Nyqvist,Frida Hallgren,GF Studios AB,individual underdog loss of loved one mentally disabled sweden pastor suppressed past heart attack conductor choir violent husband church choir choirmaster dying and death village concert secret love music movie
2500000,Drama|Romance,468,en,My Own Private Idaho,10.363642,1991-10-17,0,104.0,My Own Private Idaho,7.1,212,Gus Van Sant,Laurie Parker,River Phoenix,Keanu Reeves,Fine Line Features,"individual sibling relationship rome, italy robbery parent child relationship treasure portland, oregon cocaine generations conflict idaho hustler seattle, washington male friendship friendship road trip unrequited love male prostitute poverty prostitution incest lost mother narcolepsy father son relationship gay theme"
20000000,Drama|Crime|Thriller,470,en,21 Grams,32.243357,2003-09-06,60427839,124.0,21 Grams,7.2,918,Alejandro González Iñárritu,Robert Salerno,Sean Penn,Naomi Watts,This Is That Productions,life and death loss of loved one transplantation suicide attempt new mexico ex-detainee sadness rage and hate widow faith car crash multiple storylines
60000,Mystery|Drama|Thriller,473,en,Pi,27.788067,1998-07-10,3221152,84.0,Pi,7.1,586,Darren Aronofsky,Eric Watson,Sean Gullette,Mark Margolis,Truth and Soul Pictures Inc,new york city hacker mathematician paranoia helix headache chaos theory migraine mathematics insanity genius computer chip math genius
46000000,Action|Adventure|Crime|Thriller,479,en,Shaft,19.643365,2000-06-15,107196498,99.0,Shaft,5.5,308,John Singleton,Mark Roybal,Samuel L. Jackson,Jeffrey Wright,Paramount Pictures,new york city sibling relationship corruption italian american based on novel or book drug dealer remake revenge murder drugs police officer xenophobia lucifer morningstar african american
0,Comedy|Drama|Romance,480,hi,Monsoon Wedding,8.109958,2001-08-30,0,114.0,Monsoon Wedding,6.8,57,Mira Nair,Robyn Aronstam,Naseeruddin Shah,Lillete Dubey,IFC Films,"child abuse adultery delhi, india arranged marriage wedding woman director wedding arranger class system"
10000000,Drama,489,en,Good Will Hunting,43.734886,1997-12-05,225933435,126.0,Good Will Hunting,7.9,2811,Gus Van Sant,Lawrence Bender,Robin Williams,Matt Damon,Miramax Films,"baseball boston, massachusetts professor harvard university male friendship ambition mathematics genius love friends flashback janitor psychologist university courtroom prodigy math genius"
13000000,Fantasy|Drama|Comedy,492,en,Being John Malkovich,27.546914,1999-09-30,22863596,112.0,Being John Malkovich,7.3,1101,Spike Jonze,Michael Stipe,John Cusack,Cameron Diaz,Gramercy Pictures,individual transvestism sexual identity witch identity subconsciousness new identity pet chimp puppeteer appropriation of another human being externally controlled action pet shop secret love actor playing themself
18000000,Comedy,496,en,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,29.487784,2006-11-01,261572744,82.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.5,1579,Larry Charles,Jay Roach,Sacha Baron Cohen,Ken Davitian,Twentieth Century Fox Film Corporation,california prostitute journalist rodeo kazakhstan demeanor course chicken driving school satire anti-semitism bear social satire mockumentary reporter aftercreditsstinger duringcreditsstinger
60000000,Fantasy|Drama|Crime,497,en,The Green Mile,103.698022,1999-12-10,284600000,189.0,The Green Mile,8.2,4048,Frank Darabont,Frank Darabont,Tom Hanks,Michael Clarke Duncan,Castle Rock Entertainment,southern usa mentally disabled based on novel or book death row jail guard great depression supernatural psychopath prison guard jail electric chair torture magic realism healing 1930s abuse of power
1200000,Crime|Thriller,500,en,Reservoir Dogs,66.925866,1992-09-02,14661007,99.0,Reservoir Dogs,8.0,3697,Quentin Tarantino,Lawrence Bender,Harvey Keitel,Tim Roth,Live Entertainment,traitor jewelry psychopath thief heist betrayal escape gang plan gone wrong cult film nonlinear timeline warehouse told in flashback heist gone wrong botched robbery foreshadowing rendezvous iconic set in one room uneasy alliance rag tag group based on short film
160000000,Adventure|Action|Drama|Thriller,503,en,Poseidon,21.133748,2006-05-12,181674817,99.0,Poseidon,5.5,583,Wolfgang Petersen,Jon Jashni,Kurt Russell,Richard Dreyfuss,Virtual Studios,new year's eve fire loss of loved one drowning cataclysm atlantic ocean ball self-abandonment shipwreck giant wave blackout ship daughter single remake escape capsized ship disaster movie
8000000,Crime|Drama,504,en,Monster,19.683187,2003-11-16,60378584,110.0,Monster,7.0,485,Patty Jenkins,David Alvarado,Charlize Theron,Christina Ricci,Newmarket Films,prostitute rape sexual abuse death penalty motel based on true story murder betrayal serial killer poverty prostitution heartbreak mental illness woman director
1500000,Action|Crime|Drama|Thriller,507,en,Killing Zoe,5.817519,1993-10-01,418961,96.0,Killing Zoe,6.1,111,Roger Avary,Samuel Hadida,Eric Stoltz,Julie Delpy,Live Entertainment,"paris, france prostitute robbery drug abuse aids bank jazz hostage night life kidnapping vault junkie bank robber heroin friendship murder drugs bank robbery illegal prostitution hoodlum"
40000000,Comedy|Romance|Drama,508,en,Love Actually,37.073127,2003-09-07,244931766,135.0,Love Actually,7.0,1869,Richard Curtis,Duncan Kenworthy,Keira Knightley,Heike Makatsch,Universal Pictures,"holiday london, england love at first sight usa president marseille, france war on terror office christmas party bars and restaurants press conference language barrier prime minister rock star school performance valentine's day heathrow airport multiple storylines christmas"
42000000,Romance|Comedy|Drama,509,en,Notting Hill,28.969151,1999-05-13,363889678,124.0,Notting Hill,7.0,1262,Roger Michell,Duncan Kenworthy,Julia Roberts,Hugh Grant,Bookshop Productions,"london, england england bookshop movie business roommate birthday new love paparazzi press conference wheelchair bath tub cohabitant interview friendship fame falling in love celebration group of friends movie star dinner party famous actor"
3000000,Drama,510,en,One Flew Over the Cuckoo's Nest,127.525581,1975-11-18,108981275,133.0,One Flew Over the Cuckoo's Nest,8.2,2919,Miloš Forman,Michael Douglas,Jack Nicholson,Louise Fletcher,United Artists,"nurse mentally disabled based on novel or book oregon, usa lunatic asylum insane asylum friendship hospital medication female villain shock treatment"
4000000,Comedy|Mystery,512,en,Scoop,17.229537,2006-07-27,31584901,96.0,Scoop,6.4,420,Woody Allen,Jack Rollins,Scarlett Johansson,Hugh Jackman,BBC Films,upper class prostitute journalist drowning newspaper magic tarot cards magic show lordship suspicion of murder headline funeral investigation daughter music instrument afterlife swimming pool murder wealth american united kingdom
18000000,Comedy|Drama|History,522,en,Ed Wood,24.548633,1994-09-27,5887457,127.0,Ed Wood,7.3,630,Tim Burton,Michael Flynn,Johnny Depp,Martin Landau,Touchstone Pictures,"individual taxi transsexuality transvestite fortune teller movie business drug addiction boxer oddball celebrity morphine los angeles, california black and white suburb theremin handgun trick or treating 1950s"
52000000,Drama|Crime,524,en,Casino,40.06688,1995-11-22,116112375,178.0,Casino,7.8,1307,Martin Scorsese,Joseph P. Reidy,Robert De Niro,Sharon Stone,Universal Pictures,poker gambling casino italian american drug abuse 1970s fbi overdose greed rise and fall car bomb organized crime mafia money jewish american las vegas desert 1980s
27000000,Music|Comedy|Action|Crime,525,en,The Blues Brothers,44.714264,1980-06-17,115229890,133.0,The Blues Brothers,7.5,1065,John Landis,Robert K. Weiss,Dan Aykroyd,John Belushi,Universal Pictures,"dancing prison chicago, illinois country music nun jazz blues nazi musical concert music instrument shopping mall road trip church buddy parole"
20000000,Adventure|Drama|Fantasy|Romance,526,en,Ladyhawke,14.370111,1985-03-27,18432000,121.0,Ladyhawke,6.8,260,Richard Donner,Lauren Shuler Donner,Matthew Broderick,Rutger Hauer,Twentieth Century Fox Film Corporation,moon monk swordplay bishop cathedral falcon twilight solar eclipse thief
30000000,Adventure|Animation|Comedy|Family,533,en,The Curse of the Were-Rabbit,30.380747,2005-09-04,192452832,85.0,The Curse of the Were-Rabbit,6.8,643,Steve Box,Claire Jennings,Peter Sallis,Helena Bonham Carter,Aardman Animations,competition garden northern england village vegetable yorkshire stop motion contest dog rabbit pest control giant vegetable claymation plasticine debut feature
200000000,Action|Science Fiction|Thriller,534,en,Terminator Salvation,71.862892,2009-05-20,371353001,115.0,Terminator Salvation,5.9,2463,McG,Victor Kubicek,Christian Bale,Sam Worthington,Columbia Pictures,"saving the world artificial intelligence prophecy san francisco, california cyborg killer robot gas station post-apocalyptic future dystopia army firearm wartime los angeles, california terminator"
4000000,Drama|Music|Romance,535,en,Flashdance,18.422323,1983-04-14,92921203,95.0,Flashdance,6.1,302,Adrian Lyne,Don Simpson,Jennifer Beals,Michael Nouri,Paramount Pictures,dancing dance locksmith music movie
806948,Drama|Horror|Thriller,539,en,Psycho,93.067866,1960-06-16,32000000,109.0,Psycho,8.2,2320,Alfred Hitchcock,Alfred Hitchcock,Anthony Perkins,Vera Miles,Paramount Pictures,hotel clerk arizona shower motel taxidermy money secretary black and white corpse murderer theft mental illness private detective missing person proto-slasher
3500000,Action,540,en,D.E.B.S.,6.396936,2004-01-21,0,91.0,D.E.B.S.,5.6,90,Angela Robinson,Jasmine Kosovic,Sara Foster,Meagan Good,Destination Films,coming out punk rock lesbian relationship covert operation female protagonist in the closet lgbt metrosexual subversion female agent schoolgirl uniform lip synching plaid thesis german girl french girl woman director spy spoof lesbian
1800000,Drama|Romance,542,es,El Crimen del Padre Amaro,2.179428,2002-10-01,0,118.0,The Crime of Padre Amaro,6.2,36,Carlos Carrera,Atahualpa Lichy,Gael García Bernal,Ana Claudia Talancón,Instituto Mexicano de Cinematografía,heart attack drug trafficking drug crime mexican province celibacy pregnancy priest catholicism new mexican cinema
23000000,Romance|Comedy,544,en,There's Something About Mary,57.110486,1998-07-15,369884651,119.0,There's Something About Mary,6.5,1590,Peter Farrelly,Charles B. Wessler,Cameron Diaz,Ben Stiller,Twentieth Century Fox Film Corporation,surgeon stalker romantic comedy dream girl taboo screwball comedy frisbee troubadour intellectual disability
1000000,Drama,546,en,Transamerica,9.773398,2005-12-23,13350369,103.0,Transamerica,6.9,144,Duncan Tucker,Lucy Cooper,Felicity Huffman,Kevin Zegers,IFC Films,"individual new york city missionary runaway sexual abuse waitress parent child relationship drug addiction cocaine hustler new identity motel therapist porn actor road trip los angeles, california porn industry stolen cars hitchhike trans woman transgender"
60000000,Drama|Romance,547,en,The Horse Whisperer,12.867352,1998-05-14,186883563,170.0,The Horse Whisperer,6.7,292,Robert Redford,Karen Tenkhoff,Robert Redford,Kristin Scott Thomas,Wildwood Enterprises,love triangle new york city montana parent child relationship attachment to nature confidence horseback riding horse riding accident career woman ranch horse whisperer trauma country life marriage crisis crisis travel animal nature
